USDHKD=X
EURHKD=X
JPYHKD=X
GBPHKD=X
AUDHKD=X
CADHKD=X
CHFHKD=X
CNYHKD=X
SEKHKD=X
MXNHKD=X
NZDHKD=X
SGDHKD=X
NOKHKD=X
KRWHKD=X
INRHKD=X
BRLHKD=X
ZARHKD=X
